study,aspect,item
alberti2019platforms,link_layer_protocol,6LowPAN
alberti2019platforms,link_layer_protocol,IEEE 802.15.4
alberti2019platforms,link_layer_protocol,ZigBee
alberti2019platforms,link_layer_protocol,LoRaWAN
alberti2019platforms,application_protocol,HTTP
alberti2019platforms,application_protocol,MQTT
alberti2019platforms,application_protocol,LwM2M
alberti2019platforms,application_protocol,AMQP
alberti2019platforms,application_protocol,CoAP
alberti2019platforms,application_protocol,XMPP
duarte2020using,requirement,Older Adults Needs
duarte2020using,requirement,Heterogeneity
duarte2020using,requirement,Interoperability
duarte2020using,requirement,Context-Awareness
duarte2020using,requirement,Security
duarte2020using,requirement,Scalability
duarte2020using,requirement,Usability
duarte2020using,requirement,Reliability
duarte2020using,requirement,Efficiency//Power Management
duarte2020using,requirement,Privacy
duarte2020using,requirement,Effectiveness
duarte2020using,requirement,Extensibility
duarte2020using,requirement,Adaptability
duarte2020using,requirement,Performance
duarte2020using,requirement,Speech Recognition
kassab2020az,approach,Service
kassab2020az,approach,Cloud
kassab2020az,approach,Actor
kassab2020az,approach,Event
kassab2020az,application_protocol,MQTT
kassab2020az,application_protocol,HTTP
kassab2020az,application_protocol,WebSocket
kassab2020az,application_protocol,AMQP
kassab2020az,application_protocol,TLS
kassab2020az,application_protocol,CoAP
kassab2020az,application_protocol,SNMP
kassab2020az,application_protocol,KQML
kassab2020az,application_protocol,FIPA-ACL
kassab2020az,application_protocol,Java RMI
martinlopo2020literature,link_layer_protocol,Bluetooth
martinlopo2020literature,link_layer_protocol,ZigBee
martinlopo2020literature,link_layer_protocol,Z-Wave
martinlopo2020literature,link_layer_protocol,Wi-Fi
martinlopo2020literature,link_layer_protocol,Cellular
martinlopo2020literature,link_layer_protocol,Ethernet
martinlopo2020literature,application_protocol,TLS
martinlopo2020literature,application_protocol,MQTT
martinlopo2020literature,application_protocol,HTTP
martinlopo2020literature,application_protocol,CoAP
martinlopo2020literature,application_protocol,AMQP
martinlopo2020literature,application_protocol,DDS
martinlopo2020literature,application_protocol,XMPP
martinlopo2020literature,application_protocol,LLAP
martinlopo2020literature,application_protocol,LwM2M
martinlopo2020literature,application_protocol,SSI
martinlopo2020literature,application_protocol,VSCP
martinlopo2020literature,application_protocol,Modbus
shammar2020internet,approach,Pub/Sub
shammar2020internet,approach,Service
shammar2020internet,approach,Database
shammar2020internet,approach,VM
shammar2020internet,approach,Semantic Web
shammar2020internet,approach,WSN
shammar2020internet,approach,Robotics
shammar2020internet,approach,Cloud
shammar2020internet,approach,Agent
shammar2020internet,approach,Actor
shammar2020internet,approach,Event
shammar2020internet,approach,Tuple Space
amjad2021systematic,application_protocol,CoAP
amjad2021systematic,application_protocol,DDS
amjad2021systematic,application_protocol,MQTT
amjad2021systematic,application_protocol,HTTP
amjad2021systematic,application_protocol,Modbus
amjad2021systematic,application_protocol,OPC-UA
amjad2021systematic,application_protocol,XMPP
amjad2021systematic,application_protocol,MMS
