label,reference,cited_by,is_primary,iot_related,self_nomenclature,assigned_nomenclature
AllJoyn,tomanek2016security,alberti2019platforms,1,1,framework,platform
ALMANAC,bonino2015almanac,alberti2019platforms,1,1,platform,platform
Aneka,gubbi2013internet,alberti2019platforms,1,1,,platform
Arrowhead,varga2015service,alberti2019platforms,1,1,framework,framework
AWS IoT,,alberti2019platforms,0,1,,platform
ClouT,yonezawa2015citizen,alberti2019platforms,1,1,platform,platform
COMPaaS,amaral2015cooperative,alberti2019platforms,1,1,middleware platform,platform
DIAT,sarkar2014diat,alberti2019platforms,1,1,architecture,architecture
FIWARE,ramparany2014handling,alberti2019platforms,0,1,platform,platform
FIWARE,fernandez2016smartport,alberti2019platforms,0,1,,platform
IoTivity,iotivity,alberti2019platforms,0,1,framework,
LwM2M,lwm2m,alberti2019platforms,0,1,,framework
ManIoT,antunes2016maniot,alberti2019platforms,1,1,platform,platform
MbDSAS,marotta2013through,alberti2019platforms,1,1,system,approach
MobilityFirst,,alberti2019platforms,0,1,,architecture
NDN,,alberti2019platforms,0,1,,architecture
NovaGenesis,alberti2017advancing,alberti2019platforms,1,1,architecture,architecture
NovaGenesis,alberti2017naming,alberti2019platforms,1,1,architecture,architecture
OpenIoT,soldatos2015openiot,alberti2019platforms,1,1,platform,middleware platform
SmartSantander,sanchez2013smartsantander,alberti2019platforms,1,1,architecture,infrastructure
SENSEI,tsiatsis2010sensei,alberti2019platforms,1,1,architecture,
SENSEI,presser2009sensei,alberti2019platforms,1,1,architecture,
ThingWorx,,alberti2019platforms,0,1,,platform
Apache Kafka,garg2013apache,alfalouji2022iot,0,1,broker,system
Aidon Gateware,aidon,alfalouji2022iot,0,1,,service
AWS IoT,awsiot,alfalouji2022iot,0,1,,platform
Cisco Kinetic,ciscokinetic,alfalouji2022iot,0,1,platform,platform
CO4 Cloud,co4cloud,alfalouji2022iot,0,1,,platform
Re:dy,redy,alfalouji2022iot,0,1,,service
Element IoT,elementiot,alfalouji2022iot,0,1,,platform
EnergyIP,energyip2021,alfalouji2022iot,0,1,,service
EnergyIP,energyip2020,alfalouji2022iot,0,1,,service
Enerbrain SRL,enerbrain,alfalouji2022iot,0,1,,company
FIWARE,cirillo2019standard,alfalouji2022iot,1,1,platform,middleware framework
Azure IoT,azureiot,alfalouji2022iot,0,1,,platform
Niota,niota2021,alfalouji2022iot,0,1,,platform
Niota,niota2020,alfalouji2022iot,0,1,,platform
OdinS,odins,alfalouji2022iot,0,1,platform,infrastructure
TICK-Stack,tickstack,alfalouji2022iot,0,1,platform,platform
@Gorges,gorges2014using,amjad2021systematic,1,1,framework,middleware
@Thangavel,thangavel2014performance,amjad2021systematic,1,1,middleware,middleware
SDN-DDS,hakiri2015publish,amjad2021systematic,1,1,architecture,middleware
CORBA,object1994common,aslam2021survey,1,1,middleware,middleware
SIENA,carzaniga2000achieving,aslam2021survey,1,1,service,middleware
SIENA,carzaniga2001design,aslam2021survey,1,1,middleware service,middleware
CEA,bacon2000generic,aslam2021survey,1,1,middleware platform,middleware
SECO,haahr2000filtering,aslam2021survey,1,1,model,middleware
JEDI,cugola2001jedi,aslam2021survey,1,1,middleware,middleware
Elvin,segall2000content,aslam2021survey,1,1,system,middleware
